Image;Contrast;Folder;;
44.jpg;38.186.492.885.715.100;check3;;
45.jpg;1.578.650.584.593.970;check3;;
46.jpg;11.000.659.754.537.400;check3;;
47.jpg;18.542.051.400.240.600;check3;;
48.jpg;5.602.108.974.464.730;check3;;
49.jpg;7.333.503.164.631.780;check3;;
5.jpg;14.475.746.847.172.100;check3;;
50.jpg;10.886.199.470.502.500;check3;;
6.jpg;7.729.201.460.779.920;check3;;
7.jpg;9.371.562.285.752.550;check3;;
8.jpg;9.414.461.562.394.990;check3;;
9.jpg;845.160.764.975.232;check3;;
1.jpg;22.224.112.666.017.600;check4;;
10.jpg;5.926.460.161.823.170;check4;;
11.jpg;473.978.058.122.526;check4;;
12.jpg;4.981.486.263.022.130;check4;;
13.jpg;19.467.907.141.288.600;check4;;
14.jpg;56.492.343.665.662.700;check4;;
15.jpg;7.696.206.005.801.860;check4;;
16.jpg;52.284.012.023.210.000;check4;;
17.jpg;5.939.021.933.565.130;check4;;
18.jpg;19.817.382.585.175.100;check4;;
19.jpg;36.928.204.321.664.600;check4;;
2.jpg;4.902.394.083.495.340;check4;;
20.jpg;19.144.834.494.298.800;check4;;
21.jpg;6.285.432.218.415.390;check4;;
22.jpg;4.008.449.354.890.280;check4;;
23.jpg;4.624.365.911.416.240;check4;;
24.jpg;6.485.613.233.432.030;check4;;
25.jpg;1.656.208.324.595.620;check4;;
26.jpg;2.824.440.309.466.140;check4;;
27.jpg;27.545.163.872.177.400;check4;;
28.jpg;16.649.539.017.742.800;check4;;
29.jpg;28.678.001.755.818.000;check4;;
3.jpg;19.571.692.201.089.200;check4;;
30.jpg;450.385.527.519.304;check4;;
31.jpg;7.915.412.414.416.920;check4;;
32.jpg;14.470.477.390.758;check4;;
33.jpg;371.251.175.004.291;check4;;
34.jpg;28.781.808.754.862.500;check4;;
35.jpg;3.857.767.839.983.470;check4;;
36.jpg;10.425.251.734.175.900;check4;;
37.jpg;2.056.602.537.991.250;check4;;
38.jpg;3.217.964.656.926.350;check4;;
39.jpg;25.768.115.077.894.500;check4;;
4.jpg;50.864.895.350.111.800;check4;;
40.jpg;4.287.217.497.260.400;check4;;
41.jpg;15.607.369.214.855.800;check4;;
42.jpg;5.520.866.981.350.240;check4;;
43.jpg;9.400.435.242.302.560;check4;;
44.jpg;8.018.987.456.559.630;check4;;
45.jpg;60.267.356.665.248.600;check4;;
46.jpg;5.786.988.294.280.500;check4;;
47.jpg;4.350.456.014.471.510;check4;;
48.jpg;35.285.538.038.816.200;check4;;
49.jpg;36.827.661.454.221.700;check4;;
5.jpg;46.084.634.875.190.600;check4;;
50.jpg;37.415.796.817.869.300;check4;;
6.jpg;6.821.902.484.939.470;check4;;
7.jpg;38.094.041.997.154.000;check4;;
8.jpg;31.971.222.695.331.100;check4;;
9.jpg;8.257.445.605.764.580;check4;;
1.jpg;7.014.493.006.704.640;check5;;
10.jpg;9.167.027.310.205.760;check5;;
11.jpg;74.166.440.390.031.100;check5;;
12.jpg;6.834.170.497.495.100;check5;;
13.jpg;17.298.208.871.620.900;check5;;
14.jpg;5.914.504.443.287.790;check5;;
15.jpg;1.299.074.441.536.580;check5;;
16.bmp;3.059.274.285.128.590;check5;;
17.jpg;11.596.523.004.635.900;check5;;
18.jpg;9.666.129.546.191.280;check5;;
19.jpg;1.091.914.475.668.690;check5;;
2.jpg;14.058.528.479.429.500;check5;;
20.jpg;13.476.484.102.867.100;check5;;
21.jpg;1.322.187.083.735.300;check5;;
22.jpg;1.012.728.127.170.770;check5;;
23.jpg;12.237.663.955.201.900;check5;;
24.jpg;1.770.798.383.270.880;check5;;
25.jpg;40.164.071.397.297.100;check5;;
26.jpg;14.817.042.580.886.500;check5;;
27.jpg;7.765.301.997.553.750;check5;;
28.jpg;23.943.943.799.429.500;check5;;
29.jpg;10.553.333.044.103.300;check5;;
3.jpg;269.208.153.746.703;check5;;
30.jpg;7.964.461.074.072.430;check5;;
31.jpg;7.845.202.633.156.270;check5;;
32.jpg;34.347.250.602.683.200;check5;;
33.jpg;8.459.312.191.403.540;check5;;
34.jpg;4.466.762.657.581.790;check5;;
35.jpg;33.323.435.211.304.700;check5;;
36.jpg;3.967.735.384.939.510;check5;;
37.jpg;6.603.675.000.728.140;check5;;
38.jpg;21.325.793.381.845.400;check5;;
39.jpg;1.434.449.146.504.300;check5;;
4.jpg;14.709.145.491.476.100;check5;;
40.jpg;14.883.698.932.410.900;check5;;
41.jpg;6.715.385.180.300.140;check5;;
42.jpg;77.274.611.709.750.400;check5;;
43.jpg;3.597.113.630.338.490;check5;;
44.jpg;2.620.568.707.660.750;check5;;
45.jpg;37.495.075.289.886.300;check5;;
46.jpg;12.728.557.636.202.200;check5;;
47.jpg;4.819.080.225.240.680;check5;;
48.jpg;4.437.306.849.687.800;check5;;
49.jpg;7.001.769.287.684.120;check5;;
5.jpg;6.360.147.579.703.110;check5;;
50.jpg;1.579.351.446.906.880;check5;;
6.jpg;11.663.103.203.761.900;check5;;
7.jpg;29.933.257.469.157.700;check5;;
8.jpg;19.567.357.735.750.600;check5;;
9.jpg;848.699.380.242.611;check5;;
1.jpg;18.585.801.128.032.700;check6;;
10.jpg;2.217.589.166.458.960;check6;;
11.jpg;1.932.467.273.050.260;check6;;
12.jpg;7.021.604.891.901.360;check6;;
13.jpg;12.046.818.997.615.800;check6;;
14.jpg;4.244.034.026.218.740;check6;;
15.jpg;15.093.595.172.015.700;check6;;
16.jpg;2.893.280.299.282.740;check6;;
17.jpg;10.272.294.363.138.600;check6;;
18.jpg;2.809.999.676.716.870;check6;;
19.jpg;26.292.020.382.939.500;check6;;
2.jpg;15.409.964.565.491.100;check6;;
20.jpg;14.817.245.152.664.900;check6;;
21.jpg;15.409.964.565.491.100;check6;;
22.jpg;12.746.258.815.841.600;check6;;
23.jpg;4.243.756.324.534.510;check6;;
24.jpg;1.032.235.009.892.090;check6;;
25.jpg;24.049.147.626.483.200;check6;;
26.jpg;18.225.139.571.968.300;check6;;
27.jpg;2.142.732.347.881.470;check6;;
28.jpg;2.525.029.240.292.910;check6;;
29.jpg;2.542.444.533.628.740;check6;;
3.jpg;3.014.311.007.859.310;check6;;
30.jpg;10.616.233.452.433.800;check6;;
31.jpg;31.168.187.433.980.700;check6;;
32.jpg;5.036.126.406.499.610;check6;;
33.jpg;21.489.810.768.883.300;check6;;
34.jpg;5.726.023.386.063.940;check6;;
35.jpg;18.231.683.899.770.600;check6;;
36.jpg;4.233.725.911.789.860;check6;;
37.jpg;6.221.691.299.621.180;check6;;
38.jpg;26.911.234.661.400.900;check6;;
39.jpg;17.748.720.182.165.000;check6;;
4.jpg;7.849.483.833.131.860;check6;;
40.jpg;14.422.937.035.073.600;check6;;
41.jpg;11.314.839.872.576.700;check6;;
42.jpg;22.009.081.115.400.900;check6;;
43.jpg;2.635.298.650.020.660;check6;;
44.jpg;14.038.956.083.336.600;check6;;
45.jpg;41.065.249.764.562.800;check6;;
46.jpg;4.887.320.500.412.760;check6;;
47.jpg;5.604.455.522.564.630;check6;;
48.jpg;10.179.439.056.301.100;check6;;
49.jpg;2.542.444.533.628.740;check6;;
5.jpg;7.634.328.031.324.230;check6;;
50.jpg;2.191.955.228.353.680;check6;;
6.jpg;3.413.067.526.076.940;check6;;
7.jpg;12.548.162.369.884.900;check6;;
8.jpg;3.620.267.176.656.110;check6;;
9.jpg;1.944.335.008.727.820;check6;;
1.jpg;21.973.561.627.426.900;check7;;
10.jpg;2.437.941.828.755.720;check7;;
11.jpg;13.145.656.862.142.100;check7;;
12.jpg;11.459.860.599.959.500;check7;;
13.jpg;2.629.346.032.322.720;check7;;
14.jpg;10.573.097.083.209.700;check7;;
15.jpg;20.774.590.793.962.300;check7;;
16.jpg;9.663.656.955.563.290;check7;;
17.jpg;2.977.700.094.275.130;check7;;
18.jpg;13.815.313.663.245.900;check7;;
19.jpg;11.552.457.437.840.100;check7;;
2.jpg;696.451.183.544.224;check7;;
20.jpg;1.673.592.604.871.370;check7;;
21.jpg;8.973.359.692.225.200;check7;;
22.jpg;2.772.875.679.911.510;check7;;
23.jpg;15.243.783.697.722.900;check7;;
24.jpg;14.221.907.385.397.100;check7;;
25.jpg;16.274.644.448.705.300;check7;;
26.jpg;11.827.084.250.157.700;check7;;
27.jpg;17.236.076.574.513.800;check7;;
28.jpg;6.993.998.618.612.080;check7;;
29.jpg;15.915.832.729.237.900;check7;;
3.jpg;22.426.447.794.410.500;check7;;
30.jpg;9.130.189.176.928.840;check7;;
31.jpg;4.148.700.676.315.430;check7;;
32.jpg;11.070.660.420.294.600;check7;;
33.jpg;8.545.278.690.512.900;check7;;
34.jpg;12.481.830.857.518.000;check7;;
35.jpg;9.135.437.954.342.990;check7;;
36.jpg;15.280.307.616.486.800;check7;;
37.jpg;17.385.988.502.511.900;check7;;
38.jpg;2.138.046.247.391.850;check7;;
39.jpg;3.973.694.219.290.930;check7;;
4.jpg;5.360.422.278.267.990;check7;;
40.jpg;10.944.038.571.517.400;check7;;
41.jpg;1.698.081.913.315.630;check7;;
42.jpg;10.467.870.258.113.600;check7;;
43.jpg;6.474.379.402.738.560;check7;;
44.jpg;7.526.875.178.122.600;check7;;
45.jpg;18.448.690.861.826.600;check7;;
46.jpg;1.786.000.104.498.070;check7;;
47.jpg;4.228.472.158.283.050;check7;;
48.jpg;37.954.723.017.576.100;check7;;
49.jpg;2.807.120.533.399.410;check7;;
5.jpg;13.538.261.568.888.000;check7;;
50.jpg;6.557.366.626.388.370;check7;;
6.jpg;8.229.060.742.916.040;check7;;
7.jpg;8.432.658.575.206.530;check7;;
8.jpg;14.438.743.789.906.400;check7;;
9.jpg;15.325.418.606.223.800;check7;;
1.jpg;44.373.515.999.259.300;check8;;
10.jpg;17.117.283.718.498.300;check8;;
11.jpg;1.619.257.131.120.670;check8;;
12.jpg;9.293.201.062.718.010;check8;;
13.jpg;5.902.699.348.913.230;check8;;
14.jpg;1.307.979.048.623.840;check8;;
15.jpg;1.747.026.789.605.840;check8;;
16.jpg;1.907.714.440.846.150;check8;;
17.jpg;13.790.224.604.912.000;check8;;
18.jpg;14.043.707.107.298.800;check8;;
19.jpg;24.440.888.913.212.900;check8;;
2.jpg;605.034.672.132.029;check8;;
20.jpg;19.624.546.963.565.700;check8;;
21.jpg;12.097.453.739.876.400;check8;;
22.jpg;17.294.720.259.061.500;check8;;
23.jpg;1.397.974.619.045.040;check8;;
24.jpg;4.476.978.562.399.120;check8;;
25.jpg;10.320.422.803.136.000;check8;;
26.jpg;10.191.654.947.419.500;check8;;
27.jpg;271.247.949.358.846;check8;;
28.jpg;1.856.915.212.178.530;check8;;
29.jpg;14.608.235.998.989.700;check8;;
3.jpg;12.729.881.456.024.700;check8;;
30.jpg;24.049.130.344.735.200;check8;;
31.jpg;1.993.932.211.171.360;check8;;
32.jpg;15.144.622.552.432.000;check8;;
33.jpg;17.851.682.668.781.600;check8;;
34.jpg;11.490.706.502.349.200;check8;;
35.jpg;18.618.989.082.424.900;check8;;
36.jpg;31.844.320.274.886.400;check8;;
37.jpg;13.114.635.383.393.000;check8;;
38.jpg;15.535.581.471.751.000;check8;;
39.jpg;6.765.446.246.697.270;check8;;
4.jpg;13.051.567.397.759.800;check8;;
40.jpg;40.626.786.041.605.300;check8;;
41.jpg;2.313.250.399.761.040;check8;;
42.jpg;30.867.878.335.700.900;check8;;
43.jpg;8.244.871.657.603.480;check8;;
44.jpg;17.564.435.126.695.800;check8;;
45.jpg;4.300.803.896.709.600;check8;;
46.jpg;2.590.137.550.364.760;check8;;
47.jpg;5.215.811.029.715.530;check8;;
48.jpg;30.190.155.241.204.000;check8;;
49.jpg;12.595.847.209.059.700;check8;;
5.jpg;13.344.823.244.646.500;check8;;
50.jpg;3.839.380.872.825.700;check8;;
6.jpg;10.058.838.453.487.000;check8;;
7.jpg;2.526.985.651.961.680;check8;;
8.jpg;2.938.393.930.996.420;check8;;
9.jpg;69.745.749.308.289.400;check8;;
1.jpg;1.526.551.947.416.410;check9;;
10.jpg;29.183.932.887.926.900;check9;;
11.jpg;9.032.941.219.340.550;check9;;
12.jpg;10.202.617.541.331.000;check9;;
13.jpg;7.071.464.344.216.900;check9;;
14.jpg;5.018.186.816.740.210;check9;;
15.jpg;1.977.308.967.446.940;check9;;
16.jpg;225.692.851.616.233;check9;;
17.jpg;7.168.322.753.599.610;check9;;
18.jpg;6.898.098.282.238.080;check9;;
19.jpg;4.608.601.088.774.290;check9;;
