Folder;Filename;Mean;Skew;;;
check1;1.jpg;11.169.405.691.964.200;0.23871893092003194;;;
check1;10.jpg;60.681.560.905.612.200;24.721.041.366.679.800;;;
check1;11.jpg;8.766.412.228.954.080;0.9038306121905788;;;
check1;12.jpg;11.482.657.047.193.800;0.5611638192888309;;;
check1;13.jpg;9.061.521.444.515.300;15.298.719.440.640.700;;;
check1;14.jpg;7.207.609.215.561.220;1.229.696.692.406.450;;;SKEW
check1;15.jpg;7.167.859.135.841.830;10.505.036.239.087.500;;SUM;8,24E+17
check1;16.jpg;699.629.902.742.347;16.337.830.369.496.000;;MEAN;1,05641E+16
check1;17.jpg;9.295.892.458.545.910;10.050.816.972.737.200;;;
check1;18.jpg;9.253.954.081.632.650;15.271.227.142.258.500;;;
check1;19.jpg;8.058.699.378.188.770;0.9160590686836587;;;
check1;2.jpg;1.090.428.691.007.650;0.15884095104100537;;;
check1;20.jpg;9.747.466.916.454.080;0.4625393945345025;;;
check1;21.jpg;49.787.866.709.183.600;1.647.875.090.775.130;;;
check1;22.jpg;1.078.526.387.117.340;0.5163619362357168;;;
check1;23.jpg;6.986.164.700.255.100;11.794.378.620.355.600;;;
check1;24.jpg;14.170.467.952.806.100;-0.2829929448925784;;;
check1;25.jpg;9.405.313.297.193.870;1.073.887.246.744.470;;;
check1;26.jpg;9.885.233.976.403.060;0.5487174154379957;;;
check1;27.jpg;8.209.636.080.994.890;1.255.052.198.646.740;;;
check1;28.jpg;9.136.037.149.234.690;0.5436254276961242;;;
check1;29.jpg;10.375.079.719.387.700;0.618413636059241;;;
check1;3.jpg;10.290.130.739.795.900;11.285.523.849.394.000;;;
check1;30.jpg;12.319.377.790.178.500;0.27266375811767135;;;
check1;31.jpg;9.749.065.290.178.570;0.5715532276522026;;;
check1;32.jpg;1.267.750.318.877.550;0.524097919974463;;;
check1;33.jpg;12.905.269.451.530.600;0.34319311296598826;;;
check1;34.jpg;11.225.071.747.448.900;0.49303779996684494;;;
check1;35.jpg;6.318.851.642.219.380;20.000.564.413.358.200;;;
check1;36.jpg;9.406.102.519.132.650;0.8656102365794162;;;
check1;37.jpg;7.671.902.901.785.710;10.762.591.216.216.800;;;
check1;38.jpg;14.401.157.924.107.100;0.41735480039568845;;;
check1;39.jpg;12.130.859.375;0.19247497374655806;;;
check1;4.jpg;9.260.345.583.545.910;12.432.496.943.770.400;;;
check1;40.jpg;11.645.804.767.219.300;0.18947926704342294;;;
check1;41.jpg;13.027.580.915.178.500;0.202130727359325;;;
check1;42.jpg;12.905.269.451.530.600;0.34319311296598826;;;
check1;43.jpg;7.800.685.586.734.690;10.685.502.176.771.100;;;
check1;44.jpg;7.558.492.107.780.610;13.113.818.174.181.100;;;
check1;45.jpg;10.593.168.048.469.300;0.44948058706997296;;;
check1;46.jpg;13.493.895.487.882.600;-0.1494587166682966;;;
check1;47.jpg;14.472.694.116.709.100;0.22829995620762938;;;
check1;48.jpg;1.348.136.360.012.750;0.2318161903186071;;;
check1;49.jpeg;800.341.796.875;0.9417060769694002;;;
check1;5.jpg;1.170.787.428.252.550;0.788632635983754;;;
check1;50.jpg;8.403.260.522.959.180;0.9350977407674246;;;
check1;6.jpg;9.776.301.419.005.100;17.956.977.269.339.300;;;
check1;7.jpg;7.498.327.885.841.830;1.189.979.003.736.060;;;
check1;8.jpg;1.275.118.183.992.340;0.757421107451109;;;
check1;9.jpg;12.629.832.987.882.600;0.21229126825759467;;;
check10;1.jpg;9.404.518.096.301.020;0.38242832274229666;;;
check10;10.jpg;11.292.334.980.867.300;0.03452166559503822;;;
check10;11.jpg;791.723.333.864.796;0.5112259109429621;;;
check10;12.jpg;8.716.723.134.566.320;0.43194500271305364;;;
check10;13.jpg;8.175.255.102.040.810;0.46983478529995343;;;
check10;14.jpg;9.757.692.920.918.360;0.32757153738290457;;;
check10;15.jpg;898.917.012.117.347;0.437471206181588;;;
check10;16.jpg;8.074.477.838.010.200;0.5091317719719388;;;
check10;17.jpg;779.302.056.760.204;0.5610678315965337;;;
check10;18.jpg;9.040.385.841.836.730;0.41518396575015476;;;
check10;19.jpg;8.243.879.544.005.100;0.47897571002347866;;;
check10;2.jpg;8.924.928.252.551.020;0.42097385854373115;;;
check10;20.jpg;9.856.144.371.811.220;0.3922712124310716;;;
check10;21.jpg;8.133.432.318.239.790;0.5009262562114905;;;
check10;22.jpg;9.131.544.961.734.690;0.41099800194411334;;;
check10;23.jpg;9.186.625.079.719.380;0.3933788875247701;;;
check10;24.jpg;8.414.273.756.377.550;0.5053053028154768;;;
check10;25.jpg;8.704.205.197.704.080;0.380712176651101;;;
check10;26.jpg;9.795.238.759.566.320;0.32566482678113345;;;
check10;27.jpg;8.179.288.903.061.220;0.48964605442626374;;;
check10;28.jpg;9.177.971.540.178.570;0.38430291679691947;;;
check10;29.jpg;7.724.234.693.877.550;0.5684979158312295;;;
