Folder;Filename;Mean;Skew;;;
check1;1.jpg;11.334.628.109.056.100;0.2444781469221281;;;
check1;10.jpg;5.767.592.075.892.850;24.624.529.170.910.700;;;
check1;11.jpg;876.640.625;0.9038662421569239;;;
check1;12.jpg;11.754.613.759.566.300;0.5717715108639696;;;
check1;13.jpg;10.226.137.994.260.200;15.279.064.940.244.700;;;
check1;14.jpg;7.516.619.499.362.240;12.271.019.941.810.100;;;SKEW
check1;15.jpg;716.620.097.257.653;10.497.581.407.154.900;;SUM;8,47481E+17
check1;16.jpg;6.983.316.725.127.550;16.314.517.312.919.200;;MEAN;1,11511E+16
check1;17.jpg;929.495.774.872.449;10.085.701.160.540.900;;;
check1;18.jpg;9.638.339.046.556.120;15.243.512.448.991.900;;;
check1;19.jpg;7.205.899.234.693.870;0.9169323116266701;;;
check1;2.jpg;10.608.089.524.872.400;0.1583043366914472;;;
check1;20.jpg;8.946.183.434.311.220;0.4612728021397913;;;
check1;21.jpg;4.976.508.689.413.260;16.468.383.143.830.700;;;
check1;22.jpg;10.785.214.046.556.100;0.5163848462914895;;;
check1;23.jpg;6.919.009.088.010.200;11.812.898.087.795.000;;;
check1;24.jpg;14.170.703.125;-0.28294986004757;;;
check1;25.jpg;9.405.841.438.137.750;10.746.468.616.493.100;;;
check1;26.jpg;9.884.247.448.979.590;0.5480966687243273;;;
check1;27.jpg;820.975.566.007.653;12.553.764.639.823.500;;;
check1;28.jpg;9.136.073.022.959.180;0.5437171691745217;;;
check1;29.jpg;10.377.020.886.479.500;0.6197557163126549;;;
check1;3.jpg;10.290.222.417.091.800;11.288.360.470.096.200;;;
check1;30.jpg;12.320.661.272.321.400;0.2743558654541762;;;
check1;31.jpg;9.753.647.161.989.790;0.5786948858041772;;;
check1;32.jpg;12.677.355.707.908.100;0.5241491759287801;;;
check1;33.jpg;12.906.391.501.913.200;0.34368012133417936;;;
check1;34.jpg;11.096.747.448.979.500;0.48942976848955494;;;
check1;35.jpg;6.184.803.491.709.180;19.954.408.358.087.100;;;
check1;36.jpg;9.405.863.360.969.380;0.8657540454036982;;;
check1;37.jpg;7.618.887.515.943.870;106.243.463.347.119;;;
check1;38.jpg;14.527.716.438.137.700;0.44465952858673236;;;
check1;39.jpg;12.130.572.385.204.000;0.1926625011734198;;;
check1;4.jpg;10.282.661.033.163.200;1.250.813.806.301.350;;;
check1;40.jpg;11.645.966.198.979.500;0.18952426948118534;;;
check1;41.jpg;1.303.006.218.112.240;0.2159521345650828;;;
check1;42.jpg;12.906.391.501.913.200;0.34368012133417936;;;
check1;43.jpg;7.745.531.728.316.320;10.530.455.286.250.100;;;
check1;44.jpg;7.437.515.943.877.550;12.896.157.844.472.300;;;
check1;45.jpg;10.173.383.689.413.200;0.4417711588991645;;;
check1;46.jpg;13.537.205.038.265.300;-0.14861093874586737;;;
check1;47.jpg;16.176.313.376.913.200;0.23713753963431233;;;
check1;48.jpg;14.522.484.853.316.300;0.23198284916892384;;;
check1;49.jpeg;8.001.971.061.862.240;0.940801302529379;;;
check1;5.jpg;11.707.860.331.632.600;0.7886025252119611;;;
check1;50.jpg;8.403.246.572.066.320;0.9350301089789078;;;
check1;6.jpg;1.053.213.887.117.340;18.108.325.836.505.800;;;
check1;7.jpg;7.497.905.373.086.730;11.901.142.404.891.800;;;
check1;8.jpg;13.303.754.783.163.200;0.7672473168264947;;;
check1;9.jpg;1.313.772.520.727.040;0.21199850652388835;;;
check10;1.jpg;9.404.221.141.581.630;0.38251761640530335;;;
check10;10.jpg;11.292.091.836.734.600;0.03465156481744864;;;
check10;11.jpg;7.913.069.993.622.440;0.5111008458724633;;;
check10;12.jpg;871.557.916.135.204;0.43188176432729614;;;
check10;13.jpg;8.169.722.576.530.610;0.4694005429705791;;;
check10;14.jpg;9.756.981.425.382.650;0.3276039686532459;;;
check10;15.jpg;898.782.884.247.449;0.43750537654508287;;;
check10;16.jpg;8.066.376.355.229.590;0.5085253190613311;;;
check10;17.jpg;7.785.949.457.908.160;0.5607351244709944;;;
check10;18.jpg;9.039.837.771.045.910;0.41530020570177095;;;
check10;19.jpg;8.237.721.221.301.020;0.47849680244882814;;;
check10;2.jpg;8.924.944.196.428.570;0.4209659104586374;;;
check10;20.jpg;98.609.375;0.3931705222400303;;;
check10;21.jpg;8.124.984.056.122.440;0.5005346995292306;;;
check10;22.jpg;9.130.391.023.596.930;0.41108124591917616;;;
check10;23.jpg;9.186.858.258.928.570;0.39362156366597406;;;
check10;24.jpg;8.412.111.367.984.690;0.5063225661814968;;;
check10;25.jpg;8.702.774.234.693.870;0.3805890316974287;;;
check10;26.jpg;9.794.903.938.137.750;0.3257055882770564;;;
check10;27.jpg;8.171.743.463.010.200;0.48919732031070623;;;
check10;28.jpg;9.177.485.251.913.260;0.3843284636323389;;;
check10;29.jpg;7.717.368.861.607.140;0.5682159047549413;;;
check10;3.jpg;8.216.623.485.331.630;0.47923835921406555;;;
check10;30.jpg;8.610.198.102.678.570;0.43054095540315834;;;
check10;31.jpg;8.921.898.915.816.320;0.4151094537944797;;;
check10;32.jpg;8.900.518.176.020.400;0.34012602719029755;;;
check10;33.jpg;7.807.850.366.709.180;0.5515735302534952;;;
check10;34.jpg;9.801.668.128.188.770;0.323596434235615;;;
check10;35.jpg;8.219.280.133.928.570;0.48616869051811523;;;
check10;36.jpg;7.847.749.920.280.610;0.553016999436615;;;
check10;37.jpg;9.833.322.704.081.630;0.33313229414355716;;;
check10;38.jpg;9.421.952.726.403.060;0.3768202409248709;;;
check10;39.jpg;8.981.819.993.622.440;0.38226251747046525;;;
check10;4.jpg;815.064.772.002.551;0.4589609894672318;;;
check10;40.jpg;8.211.158.721.301.020;0.48116699081138353;;;
check10;41.jpg;6.921.655.771.683.670;0.5115141891999513;;;
check10;42.jpg;11.231.937.579.719.300;0.10407772851596578;;;
check10;43.jpg;10.249.629.304.846.900;0.24899706672333075;;;
check10;44.jpg;795.180.365.114.796;0.5327873547632189;;;
check10;45.jpg;967.762.675.382.653;0.34137196711241563;;;
check10;46.jpg;8.152.525.111.607.140;0.4342760606274406;;;
check10;47.jpg;9.850.406.568.877.550;0.31641154904455904;;;
check10;48.jpg;10.448.551.100.127.500;0.21604131521389924;;;
check10;49.jpg;831.015.625;0.45762457149112046;;;
check10;5.jpg;11.453.621.253.188.700;0.1832187967134413;;;
check10;50.jpg;8.047.201.849.489.790;0.504310614092823;;;
check10;6.jpg;8.119.499.362.244.890;0.47292180654121235;;;
check10;7.jpg;10.354.195.232.780.600;0.22463528328457835;;;
check10;8.jpg;8.903.461.814.413.260;0.4088715388075315;;;
check10;9.jpg;8.645.165.019.132.650;0.48921137609794485;;;
check2;1.jpg;11.313.125.797.193.800;0.8972651404233958;;;
check2;10.jpg;1.396.534.797.512.750;-0.9151373168012574;;;
check2;11.jpg;7.188.639.987.244.890;11.186.936.481.128.300;;;
check2;12.jpg;8.356.802.056.760.200;0.9967453330464837;;;
check2;13.jpg;11.464.688.297.193.800;0.41458047597418346;;;
