Image;Contrast;Folder;;
44.jpg;19.870.123.412.463.100;check3;;
45.jpg;5.300.833.903.390.530;check3;;
46.jpg;4.149.535.623.710.080;check3;;
47.jpg;736.088.989.470.314;check3;;
48.jpg;2.174.006.835.447.750;check3;;
49.jpg;3.244.905.030.554.800;check3;;
5.jpg;5.258.450.970.126.210;check3;;
50.jpg;4.527.412.626.121.100;check3;;
6.jpg;41.713.769.207.957.900;check3;;
7.jpg;5.238.512.749.960.300;check3;;
8.jpg;6.514.896.221.524.720;check3;;
9.jpg;4.467.228.753.052.960;check3;;
1.jpg;163.052.016.698.058;check4;;
10.jpg;4.467.576.909.832.230;check4;;
11.jpg;2.450.725.185.379.590;check4;;
12.jpg;3.673.740.486.389.290;check4;;
13.jpg;313.685.499.189.179;check4;;
14.jpg;3.784.808.022.876.820;check4;;
15.jpg;4.434.244.994.738.650;check4;;
16.jpg;3.651.404.824.685.070;check4;;
17.jpg;4.813.994.470.865.610;check4;;
18.jpg;9.694.997.290.305.820;check4;;
19.jpg;29.772.614.337.451.600;check4;;
2.jpg;29.477.883.538.719.200;check4;;
20.jpg;14.509.438.963.651.300;check4;;
21.jpg;434.127.477.225.598;check4;;
22.jpg;4.523.775.784.728.420;check4;;
23.jpg;3.030.906.409.851.460;check4;;
24.jpg;24.522.876.833.777.000;check4;;
25.jpg;9.895.804.228.677.390;check4;;
26.jpg;19.349.861.241.074.100;check4;;
27.jpg;222.724.286.404.077;check4;;
28.jpg;7.680.163.005.902.730;check4;;
29.jpg;31.759.405.854.017.400;check4;;
3.jpg;12.431.311.281.161.300;check4;;
30.jpg;4.622.027.398.645.650;check4;;
31.jpg;5.328.224.752.708.150;check4;;
32.jpg;9.307.087.409.318.560;check4;;
33.jpg;23.137.583.475.299.600;check4;;
34.jpg;15.347.968.734.425.800;check4;;
35.jpg;2.844.259.998.062.160;check4;;
36.jpg;7.248.207.946.852.010;check4;;
37.jpg;17.775.437.111.224.900;check4;;
38.jpg;1.373.217.055.962.610;check4;;
39.jpg;896.986.543.784.485;check4;;
4.jpg;3.595.287.483.568.040;check4;;
40.jpg;18.525.072.398.088.400;check4;;
41.jpg;1.068.290.999.472.910;check4;;
42.jpg;33.350.402.163.398.700;check4;;
43.jpg;46.999.305.899.340.800;check4;;
44.jpg;5.712.031.139.531.060;check4;;
45.jpg;47.060.200.382.345.400;check4;;
46.jpg;3.950.071.885.674.160;check4;;
47.jpg;2.007.336.959.157.270;check4;;
48.jpg;15.162.945.204.754.200;check4;;
49.jpg;25.542.503.587.356.500;check4;;
5.jpg;2.206.476.699.002.920;check4;;
50.jpg;16.310.683.959.808.400;check4;;
6.jpg;5.213.189.485.663.520;check4;;
7.jpg;2.690.806.491.683.390;check4;;
8.jpg;27.318.172.475.488.300;check4;;
9.jpg;4.568.756.084.599.030;check4;;
1.jpg;7.187.898.061.869.090;check5;;
10.jpg;6.729.882.024.468.700;check5;;
11.jpg;822.966.933.143.382;check5;;
12.jpg;6.875.249.848.384.450;check5;;
13.jpg;20.965.939.827.464.200;check5;;
14.jpg;3.828.671.493.384.100;check5;;
15.jpg;12.244.291.140.491.500;check5;;
16.bmp;3.740.988.704.541.580;check5;;
17.jpg;1.000.860.486.791.690;check5;;
18.jpg;10.285.510.482.168.400;check5;;
19.jpg;698.202.776.298.221;check5;;
2.jpg;14.113.239.319.788.200;check5;;
20.jpg;6.667.130.035.946.930;check5;;
21.jpg;6.031.092.362.339.520;check5;;
22.jpg;8.063.803.938.214.250;check5;;
23.jpg;11.110.316.851.490.300;check5;;
24.jpg;9.999.789.722.396.550;check5;;
25.jpg;39.201.343.585.267.300;check5;;
26.jpg;6.985.269.462.670.840;check5;;
27.jpg;4.497.997.597.435.020;check5;;
28.jpg;21.280.101.196.241;check5;;
29.jpg;7.414.750.509.558;check5;;
3.jpg;2.770.086.835.273.350;check5;;
30.jpg;8.793.945.715.001.790;check5;;
31.jpg;8.756.669.693.968.280;check5;;
32.jpg;3.609.349.228.657.960;check5;;
33.jpg;9.075.099.189.398.830;check5;;
34.jpg;35.597.368.588.842.700;check5;;
35.jpg;3.640.599.472.355.710;check5;;
36.jpg;4.618.787.472.490.560;check5;;
37.jpg;2.563.001.799.096.860;check5;;
38.jpg;13.799.420.884.242.400;check5;;
39.jpg;7.608.878.772.022.220;check5;;
4.jpg;13.064.063.186.256.200;check5;;
40.jpg;60.362.905.543.771;check5;;
41.jpg;4.836.079.945.018.510;check5;;
42.jpg;7.134.398.067.342.090;check5;;
43.jpg;26.132.423.302.055.800;check5;;
44.jpg;20.869.785.227.364.400;check5;;
45.jpg;35.789.628.547.813.800;check5;;
46.jpg;12.653.993.721.691.400;check5;;
47.jpg;30.919.069.002.986.400;check5;;
48.jpg;40.647.330.555.115.400;check5;;
49.jpg;27.764.290.058.365.500;check5;;
5.jpg;36.618.270.800.394.700;check5;;
50.jpg;11.248.172.704.036.100;check5;;
6.jpg;14.979.736.723.061.300;check5;;
7.jpg;29.127.575.781.372.900;check5;;
8.jpg;20.114.586.891.056.700;check5;;
9.jpg;4.938.217.567.932.790;check5;;
1.jpg;7.894.938.492.411.920;check6;;
10.jpg;11.368.295.876.358.000;check6;;
11.jpg;8.979.493.922.195.840;check6;;
12.jpg;31.005.344.990.889.500;check6;;
13.jpg;411.191.286.550.448;check6;;
14.jpg;27.927.689.175.796.000;check6;;
15.jpg;6.444.884.489.390.310;check6;;
16.jpg;1.512.756.547.340.470;check6;;
17.jpg;4.816.824.184.671.930;check6;;
18.jpg;1.420.827.328.596.700;check6;;
19.jpg;679.248.889.039.686;check6;;
2.jpg;5.547.415.235.532.510;check6;;
20.jpg;672.288.133.485.652;check6;;
21.jpg;5.547.415.235.532.510;check6;;
22.jpg;46.349.483.435.299.900;check6;;
23.jpg;11.200.022.299.435.600;check6;;
24.jpg;890.326.342.755.484;check6;;
25.jpg;16.467.910.951.561.100;check6;;
26.jpg;7.309.548.750.581.860;check6;;
27.jpg;7.771.345.434.591.600;check6;;
28.jpg;16.621.876.806.122.900;check6;;
29.jpg;13.301.223.684.950.000;check6;;
3.jpg;13.775.656.868.613.200;check6;;
30.jpg;74.972.580.830.174.000;check6;;
31.jpg;16.666.592.072.230.600;check6;;
32.jpg;20.208.706.424.241.200;check6;;
33.jpg;5.998.136.226.158.340;check6;;
34.jpg;1.815.914.784.294.420;check6;;
35.jpg;9.104.946.057.596.880;check6;;
36.jpg;2.032.177.852.909.130;check6;;
37.jpg;24.429.258.148.049.500;check6;;
38.jpg;14.326.712.998.915.600;check6;;
39.jpg;11.945.431.584.940.500;check6;;
4.jpg;39.071.417.917.853.700;check6;;
40.jpg;8.634.012.179.452.540;check6;;
41.jpg;5.294.183.995.606.740;check6;;
42.jpg;1.346.668.821.351.120;check6;;
43.jpg;9.286.508.452.492.120;check6;;
44.jpg;15.167.612.614.922.000;check6;;
45.jpg;18.457.943.982.045.200;check6;;
46.jpg;19.879.858.644.887.400;check6;;
47.jpg;232.419.970.985.295;check6;;
48.jpg;478.236.802.414.684;check6;;
49.jpg;13.301.223.684.950.000;check6;;
5.jpg;27.870.768.206.118.500;check6;;
50.jpg;12.618.100.709.183.100;check6;;
6.jpg;15.679.243.363.106.700;check6;;
7.jpg;7.127.244.874.057.340;check6;;
8.jpg;23.346.235.359.982.700;check6;;
9.jpg;12.942.191.402.264.900;check6;;
1.jpg;8.969.375.165.952.430;check7;;
10.jpg;9.799.532.497.711.050;check7;;
11.jpg;663.163.144.605.987;check7;;
12.jpg;4.407.174.643.198.780;check7;;
13.jpg;7.967.404.480.526.610;check7;;
14.jpg;787.155.091.052.669;check7;;
15.jpg;8.177.736.000.197.270;check7;;
16.jpg;4.357.649.894.647.220;check7;;
17.jpg;14.354.076.186.460.100;check7;;
18.jpg;4.662.084.659.622.090;check7;;
19.jpg;11.755.819.012.874.600;check7;;
2.jpg;33.651.478.483.239;check7;;
20.jpg;4.345.417.441.778.010;check7;;
21.jpg;38.828.246.801.357.200;check7;;
22.jpg;15.130.590.673.860.100;check7;;
23.jpg;38.395.018.269.365.300;check7;;
24.jpg;6.292.804.976.201.560;check7;;
25.jpg;5.169.791.612.697.010;check7;;
